frame,p0,p1,p2,p3,p4,p5,p6,p7
0,0.154096,0.117440,0.104761,0.105482,0.104061,0.098667,0.113559,0.201935
1,0.154093,0.117443,0.104758,0.105491,0.104068,0.098674,0.113562,0.201911
2,0.154093,0.117443,0.104758,0.105490,0.104067,0.098674,0.113562,0.201913
3,0.154094,0.117442,0.104759,0.105488,0.104065,0.098672,0.113561,0.201918
4,0.154096,0.117440,0.104761,0.105482,0.104060,0.098667,0.113559,0.201935
5,0.154096,0.117439,0.104762,0.105481,0.104059,0.098665,0.113558,0.201939
6,0.154096,0.117440,0.104761,0.105482,0.104061,0.098667,0.113559,0.201934
7,0.154096,0.117440,0.104761,0.105482,0.104061,0.098667,0.113559,0.201935
8,0.154096,0.117440,0.104761,0.105482,0.104060,0.098667,0.113559,0.201935
9,0.154096,0.117440,0.104761,0.105482,0.104061,0.098667,0.113559,0.201934
10,0.154095,0.117441,0.104761,0.105484,0.104062,0.098668,0.113559,0.201930
11,0.154096,0.117440,0.104761,0.105482,0.104061,0.098667,0.113559,0.201934
12,0.154097,0.117439,0.104762,0.105480,0.104059,0.098665,0.113557,0.201942
13,0.154097,0.117439,0.104762,0.105480,0.104059,0.098664,0.113557,0.201942
14,0.154093,0.117443,0.104758,0.105490,0.104067,0.098673,0.113562,0.201914
15,0.154093,0.117443,0.104758,0.105490,0.104067,0.098674,0.113562,0.201912
16,0.154093,0.117443,0.104758,0.105490,0.104067,0.098674,0.113562,0.201913
17,0.154093,0.117443,0.104758,0.105490,0.104067,0.098673,0.113562,0.201914
18,0.154093,0.117443,0.104758,0.105490,0.104067,0.098674,0.113562,0.201913
19,0.154093,0.117443,0.104758,0.105489,0.104066,0.098673,0.113562,0.201915
20,0.154094,0.117442,0.104759,0.105488,0.104065,0.098671,0.113561,0.201920
21,0.154095,0.117441,0.104760,0.105485,0.104063,0.098669,0.113560,0.201928
22,0.154095,0.117441,0.104761,0.105484,0.104062,0.098668,0.113559,0.201930
23,0.154098,0.117438,0.104763,0.105477,0.104056,0.098662,0.113557,0.201949
24,0.154097,0.117438,0.104763,0.105478,0.104057,0.098663,0.113557,0.201946
25,0.154099,0.117436,0.104765,0.105473,0.104053,0.098659,0.113555,0.201960
26,0.154099,0.117436,0.104765,0.105473,0.104053,0.098659,0.113554,0.201961
27,0.154101,0.117435,0.104767,0.105469,0.104050,0.098656,0.113553,0.201971
28,0.154102,0.117433,0.104769,0.105465,0.104046,0.098651,0.113551,0.201984
29,0.154102,0.117433,0.104768,0.105466,0.104047,0.098652,0.113551,0.201981
30,0.154102,0.117432,0.104769,0.105465,0.104046,0.098651,0.113551,0.201984
31,0.154103,0.117432,0.104769,0.105463,0.104044,0.098650,0.113550,0.201990
32,0.154102,0.117433,0.104768,0.105465,0.104047,0.098652,0.113551,0.201982
33,0.154101,0.117433,0.104768,0.105467,0.104048,0.098653,0.113552,0.201978
34,0.154102,0.117432,0.104769,0.105464,0.104046,0.098651,0.113551,0.201985
35,0.154103,0.117432,0.104769,0.105463,0.104045,0.098650,0.113550,0.201988
36,0.154103,0.117432,0.104769,0.105463,0.104045,0.098650,0.113550,0.201989
37,0.154100,0.117435,0.104766,0.105470,0.104051,0.098656,0.113553,0.201969
38,0.154098,0.117438,0.104764,0.105477,0.104056,0.098662,0.113556,0.201951
39,0.154099,0.117436,0.104765,0.105472,0.104052,0.098658,0.113554,0.201962
40,0.154100,0.117435,0.104766,0.105472,0.104052,0.098658,0.113554,0.201964
41,0.154099,0.117437,0.104764,0.105475,0.104055,0.098660,0.113555,0.201955
42,0.154100,0.117435,0.104765,0.105472,0.104052,0.098658,0.113554,0.201963
43,0.154098,0.117438,0.104763,0.105477,0.104056,0.098662,0.113556,0.201949
44,0.154100,0.117435,0.104766,0.105472,0.104052,0.098657,0.113554,0.201965
45,0.154099,0.117437,0.104764,0.105475,0.104054,0.098660,0.113555,0.201956
46,0.154099,0.117437,0.104765,0.105474,0.104054,0.098660,0.113555,0.201957
47,0.154101,0.117434,0.104767,0.105467,0.104048,0.098654,0.113552,0.201976
48,0.154102,0.117433,0.104768,0.105466,0.104047,0.098652,0.113551,0.201981
49,0.154100,0.117435,0.104766,0.105470,0.104051,0.098657,0.113553,0.201967
50,0.154102,0.117433,0.104769,0.105465,0.104046,0.098651,0.113551,0.201984
51,0.154100,0.117435,0.104766,0.105471,0.104051,0.098657,0.113554,0.201966
